xl_file,property_name,unit_type,excluded_units,rentable_units,avg_scheduled_charges,current_occupied,prior_total_new,current_total_new,prior_renewal,current_renewal,prior_total_leases,current_total_leases,prior_pre_lease_pct,current_pre_lease_pct,yoy_variance_pct,projected_availability
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,B1 Semi-Shared,0,21,897.3157894736842,5,11,14,10,5,21,19,1,0.9047619047619048,-0.09523809523809523,2
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,C1 Study,0,3,1071.6666666666667,0,1,3,1,0,2,3,0.6666666666666666,1,0.33333333333333337,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,D1 Balcony,0,40,975.8347826086957,6,18,17,11,6,29,23,0.725,0.575,-0.15000000000000002,17
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,D2,0,64,967.7585714285715,26,20,28,34,28,54,56,0.84375,0.875,0.03125,8
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,D3,0,20,820.75,11,11,9,10,11,21,20,1.05,1,-0.050000000000000044,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,D3 Semi-Shared,0,120,840.4686363636364,55,34,31,62,57,96,88,0.8,0.7333333333333333,-0.06666666666666676,32
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,S1,0,5,1582.8,2,3,2,1,3,4,5,0.8,1,0.19999999999999996,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy 65,S2,0,5,1561,2,4,2,1,3,5,5,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy Lincoln,B1,0,30,868.5,12,23,16,5,14,28,30,0.9333333333333333,1,0.06666666666666665,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy Lincoln,B2,0,38,888.2894736842105,16,22,22,16,16,38,38,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy Lincoln,B3 Townhome,0,14,941.8571428571429,9,10,5,4,9,14,14,1,1,0,0
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy Lincoln,C1,0,42,825.75,7,25,33,15,7,40,40,0.9523809523809523,0.9523809523809523,0,2
data-raw/data/original/pre_lease/Pre-Lease - 2024-08-13T115332.679.xlsx,Academy Lincoln,D1,0,472,693.272921108742,174,329,289,122,180,451,469,0.9555084745762712,0.9936440677966102,0.03813559322033899,3
