report_date,property_id,property_name,unit_type,avg_sqft,avg_advertised_rate,total_unit_count,excluded_unit_count,rentable_unit_count,occupied_count,available_count,total_scheduled_rent,yoy_variance,avg_scheduled_rent,started_new_count_prior,started_new_count,started_renewal_count_prior,started_renewal_count,started_count_prior,started_count,started_percent,partially_completed_new_count_prior,partially_completed_new_count,partially_completed_renewal_count_prior,partially_completed_renewal_count,partially_completed_count_prior,partially_completed_count,partially_completed_percent,completed_new_count_prior,completed_new_count,completed_renewal_count_prior,completed_renewal_count,completed_count_prior,completed_count,completed_percent,approved_new_count_prior,approved_new_count,approved_renewal_count_prior,approved_renewal_count,approved_count_prior,approved_count,approved_percent,preleased_new_count_prior,preleased_new_count,preleased_renewal_count_prior,preleased_renewal_count,preleased_count_prior,preleased_count,preleased_percent_prior,preleased_percent
2025-02-12,518042,The Academy on Charles,C1,364.5,0,12,0,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,9,5,3,9,12,1,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,C2,339,0,36,0,36,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,17,15,10,36,27,0.75,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,C3,283,0,24,0,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,12,4,21,22,0.9166666666666666,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,C4,422,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0.3333333333333333,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,D1,281.3076923076923,0,104,0,104,104,104,0,0,0,2,0,0,1,2,1,0.009615384615384616,2,0,0,0,2,0,0,2,0,0,0,2,0,0,14,0,25,5,39,5,0.04807692307692308,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,D2,351.8,0,40,0,40,40,40,0,0,0,0,0,0,1,0,1,0.025,0,0,0,0,0,0,0,1,0,0,0,1,0,0,25,9,13,15,38,24,0.6,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,D3,307.6,0,20,0,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,10,18,16,0.8,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,D4,267,0,32,0,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,4,13,8,0.25,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,S1,351,0,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,4,1,0,0,0,0,0,0,0,0
2025-02-12,518042,The Academy on Charles,S2,423,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
2025-02-12,1197886,The Caswell at Runnymeade,Not Selected,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
